City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.62,49,0,21.85,clear sky
1,Mataura,NZ,-46.1927,168.8643,48.96,62,11,5.19,few clouds
2,Busselton,AU,-33.65,115.3333,49.05,90,62,7.72,broken clouds
3,Akdepe,TM,42.0551,59.3788,51.89,45,100,7.67,overcast clouds
4,Luganville,VU,-15.5333,167.1667,78.48,79,5,5.97,clear sky
5,Albany,US,42.6001,-73.9662,55.22,94,99,7.87,overcast clouds
6,Hailey,US,43.5196,-114.3153,39.06,87,1,6.91,clear sky
7,Iracoubo,GF,5.4802,-53.2011,81.77,80,56,7.07,broken clouds
8,Quang Ngai,VN,15.1167,108.8,74.95,92,14,2.37,few clouds
9,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,5.75,scattered clouds
10,Port Elizabeth,ZA,-33.918,25.5701,68.09,72,0,16.11,clear sky
11,Qaanaaq,GL,77.484,-69.3632,1.29,54,0,7.99,clear sky
12,Mar Del Plata,AR,-38.0023,-57.5575,78.82,65,0,9.22,clear sky
13,Swift Current,CA,50.2834,-107.8014,27.41,86,75,12.66,broken clouds
14,Severo-Kurilsk,RU,50.6789,156.125,39.42,82,9,15.03,clear sky
15,Chernyshevskiy,RU,63.0128,112.4714,24.8,96,100,7.34,light snow
16,Isangel,VU,-19.55,169.2667,75.31,78,3,2.3,clear sky
17,Butaritari,KI,3.0707,172.7902,81.41,78,94,7.47,light rain
18,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,21.85,clear sky
19,Sao Filipe,CV,14.8961,-24.4956,80.82,71,91,11.27,overcast clouds
20,Yumen,CN,40.2833,97.2,41.63,37,7,7.58,clear sky
21,Haines Junction,CA,60.7522,-137.5108,33.75,64,100,8.05,overcast clouds
22,Victoria,HK,22.2855,114.1577,75.25,84,67,1.01,light rain
23,Puksoozero,RU,62.5903,40.6066,43.63,88,100,8.25,overcast clouds
24,Rawson,AR,-43.3002,-65.1023,56.98,36,1,29.19,clear sky
25,Indramayu,ID,-6.3264,108.32,83.71,73,99,4.92,light rain
26,Norman Wells,CA,65.282,-126.8329,19.44,93,90,2.3,light snow
27,Atuona,PF,-9.8,-139.0333,77.22,68,18,17.36,few clouds
28,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,88,40,16.58,scattered clouds
29,Mackay,AU,-21.15,149.2,76.68,88,40,5.75,scattered clouds
30,Karatau,KZ,43.1667,70.4667,46.04,61,97,2.17,overcast clouds
31,Hobyo,SO,5.3505,48.5268,81.41,68,21,15.14,few clouds
32,Muli,MV,2.9167,73.5667,82.81,75,27,13.53,scattered clouds
33,Manutuke,NZ,-38.6833,177.9167,64.98,81,100,10.27,overcast clouds
34,Ladybrand,ZA,-29.1945,27.4574,63.5,34,0,10.89,clear sky
35,Cidreira,BR,-30.1811,-50.2056,71.87,75,75,20.49,broken clouds
36,Rikitea,PF,-23.1203,-134.9692,74.8,83,67,21.07,light rain
37,Livingston,GB,55.9029,-3.5226,50.13,79,20,13.8,few clouds
38,Hilo,US,19.7297,-155.09,80.28,68,20,6.91,few clouds
39,Avera,US,33.194,-82.5271,62.91,61,57,14.52,broken clouds
40,Olavarria,AR,-36.8927,-60.3225,87.33,37,61,5.88,broken clouds
41,Vaini,TO,-21.2,-175.2,71.76,94,20,8.05,few clouds
42,Awjilah,LY,29.1081,21.2869,76.55,30,6,7.49,clear sky
43,Rio Gallegos,AR,-51.6226,-69.2181,57.25,28,0,10.36,clear sky
44,Dodge City,US,37.7528,-100.0171,60.26,53,1,5.01,clear sky
45,Naryan-Mar,RU,67.6713,53.087,16.21,86,99,7.92,overcast clouds
46,Tiksi,RU,71.6872,128.8694,-2.94,98,100,6.82,overcast clouds
47,Kaitangata,NZ,-46.2817,169.8464,51.33,74,83,5.53,broken clouds
48,Bengkulu,ID,-3.8004,102.2655,77.79,90,100,4.85,heavy intensity rain
49,Port Hardy,CA,50.6996,-127.4199,41.0,100,20,4.61,few clouds
50,San Felipe,VE,10.3399,-68.7425,75.65,84,100,1.88,overcast clouds
51,Bubaque,GW,11.2833,-15.8333,75.31,87,100,0.49,light rain
52,Yellowknife,CA,62.456,-114.3525,27.41,100,90,12.66,overcast clouds
53,Bluff,NZ,-46.6,168.3333,53.2,62,13,18.72,few clouds
